"name","ring","quadrant","isNew","description"
March @ yoomoney,Adopt,Techniques,FALSE,"https://github.com/yoomoney/march-android"
R8/proguard,Adopt,Techniques,FALSE,""
MVVM,Hold,Techniques,FALSE,""
MVP,Hold,Techniques,FALSE,""
Modular architecture,Adopt,Techniques,FALSE,""
Java,Hold,languages-and-frameworks,FALSE,""
Groovy,Hold,languages-and-frameworks,FALSE,""
AppMetrica,Adopt,languages-and-frameworks,FALSE,""
Kotlin,Adopt,languages-and-frameworks,FALSE,""
Google Pay,Adopt,languages-and-frameworks,FALSE,""
Huawei Mobile Services,Adopt,languages-and-frameworks,FALSE,""
Hilt,Trial,languages-and-frameworks,FALSE,""
Dagger 2,Adopt,languages-and-frameworks,FALSE,""
RxJava,Hold,languages-and-frameworks,FALSE,""
Firebase,Adopt,languages-and-frameworks,FALSE,""
Jetpack navigation,Adopt,languages-and-frameworks,FALSE,""
OkHttp,Adopt,languages-and-frameworks,FALSE,""
Room,Adopt,languages-and-frameworks,FALSE,""
Gson,Adopt,languages-and-frameworks,FALSE,""
Robolectric,Adopt,languages-and-frameworks,FALSE,""
jUnit,Adopt,languages-and-frameworks,FALSE,""
Mockito,Adopt,languages-and-frameworks,FALSE,""
Espresso,Adopt,languages-and-frameworks,FALSE,""
MPAndroidChart,Adopt,languages-and-frameworks,FALSE,""
Picasso,Adopt,languages-and-frameworks,FALSE,""
Kotlinx.Coroutines,Adopt,languages-and-frameworks,FALSE,""
Retrofit,Adopt,languages-and-frameworks,FALSE,""
LiveData,Adopt,languages-and-frameworks,FALSE,""
Jetpack Compose,Assess,languages-and-frameworks,FALSE,""
OrmLite,Hold,languages-and-frameworks,FALSE,""
Jackson,Trial,languages-and-frameworks,FALSE,""
Gradle,Adopt,Tools,FALSE,""
MavenCentral,Adopt,Tools,FALSE,""
Jacoco,Adopt,Tools,FALSE,""
Lint,Adopt,Tools,FALSE,""
Figma,Adopt,Tools,FALSE,""
Fastlane,Adopt,Tools,FALSE,""
SonarQube,Assess,Tools,FALSE,""
Nexus,Adopt,Platforms,FALSE,""
Bitbucket,Adopt,Platforms,FALSE,""
Jenkins,Adopt,Platforms,FALSE,""
Weblate,Adopt,Platforms,FALSE,""
Github,Adopt,Platforms,FALSE,""
Jira,Adopt,Platforms,FALSE,""
Github Actions,Trial,Platforms,FALSE,""